Date,Artist ,Album,Genre,Year,Label
18/11/2022,Severed Heads,City Slab Horror ,Rock,1985,Sevcom 
23/11/2022,Actress,Dummy Corporation,Electronic,2022,Ninja Tune
23/11/2022,yion,purgatory,Electronic,2022,[self]
23/11/2022,TOKYOPILL,Welcome to The Wired!,Electronic,2021,[self]
24/11/2022,BADBADNOTGOOD,Talk Memory,Jazz,2021,XL 
27/11/2022,YELLOW MAGIC ORCHESTRA,Solid State Survivor ,Electronic,1979,Alfa 
28/11/2022,Malibu,One Life,Ambient,2019,UNO NYC
28/11/2022,Malibu,Palaces of Pity,Ambient,2022,UNO NYC
29/11/2022,CMAT,If My Wife New I'd Be Dead,Pop,2022,AWAL Recordings
29/11/2022,Weyes Blood,And In The Darkness Hearts Aglow,Pop,2022,Sub Pop Records
29/11/2022,Ikonika,Bubble Up EP,Electronic,2022,Hyperdub
29/11/2022,Zoe McPherson,Abyss Elixir,Electronic,2022,Pendulum Recordings
29/11/2022,GAS,Zauberberg,Ambient,1997,Mille Plateaux
30/11/2022,Pharoah Sanders,Thembi,Jazz ,1971,Impulse!
30/11/2022,Negroni Nails,Negroni Nails EP,Electronic,2019,klakson
30/11/2022,Negroni Nails,Slow Motion Drip,Electronic,2022,klakson
02/12/2022,Rory Sweeney,Trash Catalogue Pt.2,Electronic,2022,1594017 Records DK
02/12/2022,Iceboy Violet,MOOK,Hip Hop,2018,TT
03/12/2022,Frank Zappa,Sheik Yerbouti,Rock,1979,Zappa Records
05/12/2022,CAN,Future Days,Rock,1973,United Artists
06/12/2022,Jacques Greene,Dawn Chorus,Electronic,2019,LuckyMe
